Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
WSH,5,0,1,0,1,2,0,0,0,9,16,1,360415122,,,,,,,,,,
PHI,0,0,0,0,0,0,0,0,1,1,4,1,360415122,,,,,,,,,,
MIL,0,1,1,1,0,2,0,2,1,8,11,2,360415123,,,,,,,,,,
PIT,0,0,0,0,0,0,4,0,0,4,8,1,360415123,,,,,,,,,,
TOR,0,1,0,0,0,0,2,0,0,3,3,1,360415102,,,,,,,,,,
BOS,3,1,0,0,0,1,0,0,-,5,9,0,360415102,,,,,,,,,,
NYM,1,0,0,0,5,0,0,0,0,6,14,2,360415105,,,,,,,,,,
CLE,1,0,0,0,1,0,0,0,3,5,14,1,360415105,,,,,,,,,,
ATL,0,0,0,0,0,0,2,4,0,6,8,2,360415128,,,,,,,,,,
MIA,1,0,1,0,1,0,0,0,0,3,12,0,360415128,,,,,,,,,,
CHW,0,0,0,0,0,0,0,0,1,1,6,1,360415130,,,,,,,,,,
TB,0,0,0,0,0,0,0,0,0,0,2,0,360415130,,,,,,,,,,
BAL,1,0,0,0,0,0,9,1,0,11,13,1,360415113,,,,,,,,,,
TEX,0,5,0,0,0,0,0,0,0,5,6,1,360415113,,,,,,,,,,
LAA,0,0,0,0,0,1,3,0,0,4,9,0,360415109,,,,,,,,,,
MIN,0,0,0,0,0,2,2,1,-,5,8,1,360415109,,,,,,,,,,
DET,0,0,0,0,0,0,0,0,0,0,5,1,360415118,,,,,,,,,,
HOU,1,0,0,0,0,0,0,0,-,1,5,0,360415118,,,,,,,,,,
CIN,0,0,3,0,0,0,0,0,0,3,7,3,360415124,,,,,,,,,,
STL,4,0,3,0,0,1,4,2,-,14,13,0,360415124,,,,,,,,,,
KC,2,0,1,0,0,0,0,0,1,4,12,1,360415111,,,,,,,,,,
OAK,0,1,0,1,0,0,0,0,0,2,5,1,360415111,,,,,,,,,,
SF,0,0,1,0,0,2,0,0,0,3,5,3,360415119,,,,,,,,,,
